"filename", "language", "XML", "Java", "comment", "blank", "total"
"d:\MOKSLAI KTU\4 kursas\II semestras\Bakalauras\app\src\main\res\layout\event_weather_row.xml", "XML", 66, 0, 0, 11, 77
"d:\MOKSLAI KTU\4 kursas\II semestras\Bakalauras\app\src\main\res\layout\forecast_not_available.xml", "XML", 36, 0, 0, 3, 39
"d:\MOKSLAI KTU\4 kursas\II semestras\Bakalauras\app\src\main\res\layout\fragment_account_overview.xml", "XML", 18, 0, 0, 4, 22
"d:\MOKSLAI KTU\4 kursas\II semestras\Bakalauras\app\src\main\res\layout\fragment_account_overview_events.xml", "XML", 40, 0, 0, 11, 51
"d:\MOKSLAI KTU\4 kursas\II semestras\Bakalauras\app\src\main\res\layout\fragment_account_overview_info.xml", "XML", 191, 0, 1, 23, 215
"d:\MOKSLAI KTU\4 kursas\II semestras\Bakalauras\app\src\main\res\layout\fragment_account_overview_settings.xml", "XML", 50, 0, 0, 6, 56
"d:\MOKSLAI KTU\4 kursas\II semestras\Bakalauras\app\src\main\res\layout\fragment_event_info.xml", "XML", 159, 0, 0, 24, 183
"d:\MOKSLAI KTU\4 kursas\II semestras\Bakalauras\app\src\main\res\layout\fragment_event_list.xml", "XML", 54, 0, 0, 14, 68
"d:\MOKSLAI KTU\4 kursas\II semestras\Bakalauras\app\src\main\res\layout\fragment_event_map.xml", "XML", 63, 0, 0, 14, 77
"d:\MOKSLAI KTU\4 kursas\II semestras\Bakalauras\app\src\main\res\layout\fragment_event_overview.xml", "XML", 44, 0, 0, 14, 58
"d:\MOKSLAI KTU\4 kursas\II semestras\Bakalauras\app\src\main\res\layout\fragment_event_tickets.xml", "XML", 45, 0, 0, 6, 51
"d:\MOKSLAI KTU\4 kursas\II semestras\Bakalauras\app\src\main\res\layout\fragment_event_weathers.xml", "XML", 14, 0, 0, 2, 16
"d:\MOKSLAI KTU\4 kursas\II semestras\Bakalauras\app\src\main\res\layout\fragment_login.xml", "XML", 125, 0, 1, 13, 139
"d:\MOKSLAI KTU\4 kursas\II semestras\Bakalauras\app\src\main\res\layout\fragment_register.xml", "XML", 121, 0, 1, 13, 135
"d:\MOKSLAI KTU\4 kursas\II semestras\Bakalauras\app\src\main\res\layout\frame_layout_loader.xml", "XML", 17, 0, 0, 1, 18
"d:\MOKSLAI KTU\4 kursas\II semestras\Bakalauras\app\src\main\res\layout\indicator_active.xml", "XML", 9, 0, 0, 2, 11
"d:\MOKSLAI KTU\4 kursas\II semestras\Bakalauras\app\src\main\res\layout\placeholder_no_marked_event.xml", "XML", 41, 0, 0, 9, 50
"d:\MOKSLAI KTU\4 kursas\II semestras\Bakalauras\app\src\main\res\layout\placeholder_unsuccessful_call.xml", "XML", 51, 0, 0, 10, 61
"d:\MOKSLAI KTU\4 kursas\II semestras\Bakalauras\app\src\main\res\layout\search_layout.xml", "XML", 49, 0, 0, 9, 58
"d:\MOKSLAI KTU\4 kursas\II semestras\Bakalauras\app\src\main\res\layout\slider_indicator.xml", "XML", 23, 0, 0, 7, 30
"d:\MOKSLAI KTU\4 kursas\II semestras\Bakalauras\app\src\main\res\menu\bottom_navigation_menu.xml", "XML", 9, 0, 3, 1, 13
"d:\MOKSLAI KTU\4 kursas\II semestras\Bakalauras\app\src\main\res\navigation\nav_graph.xml", "XML", 152, 0, 0, 3, 155
"d:\MOKSLAI KTU\4 kursas\II semestras\Bakalauras\app\src\main\res\values\colors.xml", "XML", 17, 0, 0, 1, 18
"d:\MOKSLAI KTU\4 kursas\II semestras\Bakalauras\app\src\main\res\values\dimens.xml", "XML", 17, 0, 0, 0, 17
"d:\MOKSLAI KTU\4 kursas\II semestras\Bakalauras\app\src\main\res\values\strings.xml", "XML", 61, 0, 0, 4, 65
"d:\MOKSLAI KTU\4 kursas\II semestras\Bakalauras\app\src\main\res\values\styles.xml", "XML", 26, 0, 2, 5, 33
"d:\MOKSLAI KTU\4 kursas\II semestras\Bakalauras\app\src\test\java\com\example\eventlookup\ExampleUnitTest.java", "Java", 0, 9, 5, 3, 17
"Total", "-", 2132, 3483, 426, 1192, 7233
